original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_SurfaceArea,original_shape_VoxelVolume,original_firstorder_Energy,original_firstorder_TotalEnergy,original_glcm_Imc2,original_glrlm_GrayLevelNonUniformity,original_glrlm_RunLengthNonUniformity,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelVariance,original_glszm_LargeAreaEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneVariance,original_gldm_DependenceNonUniformity,original_gldm_GrayLevelNonUniformity,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,histopathology
12.1561700762478,13.1529464379659,13.0384048104053,13.3041346956501,317.791666666667,317.718084152747,328.0,1525934060962650.0,1525934060962650.0,0.912079800596438,29.9431083496373,92.299303126479,2.47368421052632,7.58448753462604,551.894736842105,0.274739237312859,2.15789473684211,0.0272839074802482,253.87811634349,54.280487804878,55.9634146341463,7299.74390243902,0.0052344492671201,0.678878882999979,SQUAMOUS
31.6934742282516,27.0739727413618,35.9026461420325,36.1939221417077,4848.54166666667,2069.6308783905,4875.0,2.5306470939522148e+16,2.5306470939522148e+16,0.821534010989721,382.913645168663,1993.45941163839,14.4823529411765,5.12055363321799,23023.3529411765,0.260455300638774,4.45882352941176,0.0837003964818613,19733.9930795848,657.298666666667,623.254358974359,8319.51425641026,0.0040272921048909,9.50048538674516,OTHER
25.4034480724501,28.1602556806574,29.4108823397055,29.748949561287,5171.41666666667,1866.50154253298,5197.0,1.18580003155845e+16,1.18580003155845e+16,0.920082519200803,409.288857795236,1083.88369668794,6.5625,7.1396484375,114827.09375,0.44266582124748,1.9375,0.109013651764531,88451.3037109375,573.307869924957,782.656340196267,3979.60169328459,0.0029898635475765,15.9980654768128,OTHER
69.215490753973,69.4262198308391,71.4702735408225,78.2879301041993,44662.2083333333,10688.1643778032,44731.0,7.450120489909546e+16,7.450120489909546e+16,0.943300291056593,3058.74724483193,6263.67918239669,25.3305785123967,4.04931357147736,2446807.66115703,0.316423374905518,6.98347107438016,0.0513678865235809,2310146.06966737,4572.37832822874,7177.08629362187,8880.97670519327,0.000889008881036457,53.324663814708,SQUAMOUS
44.4276605138519,36.3455636907725,50.4777178564959,57.8100337311785,10900.3333333333,3777.43448282245,10944.0,2.86112504531511e+16,2.86112504531511e+16,0.907079424256256,930.882940960399,2363.5568221406,10.6666666666667,4.38957475994513,312312.148148148,0.236928411625281,2.59259259259259,0.057912547307557,271238.37037037,1138.61366959064,1858.35489766082,6398.54897660819,0.0013277002743927,17.0854844081979,SQUAMOUS
60.8875522239486,63.5609943282828,60.8769250208977,65.0845603810919,16759.2916666667,5775.78832364271,16797.0,9.321909879985763e+16,9.321909879985763e+16,0.895307905721657,1269.76597710717,4125.14842311021,22.9393939393939,4.85358636873788,284293.505050505,0.351884266894188,4.87878787878788,0.0766338008651625,255506.727272727,1853.50056557719,2295.22611180568,6362.05506935762,0.0019786768868282,31.5475478909473,SQUAMOUS
45.3103749631397,27.6586333718787,45.2769256906871,53.9351462406472,8905.66666666667,3364.18058443653,8942.0,8337540226796325.0,8337540226796325.0,0.905529041672116,676.582678615006,2457.42914740605,11.3896103896104,4.96778546129195,116064.623376623,0.114830375752995,4.03896103896104,0.0329144562077969,102578.476640243,915.023484679043,1227.19503466786,9679.61339745024,0.0010232428581884,10.479609491371,OTHER
29.5546698464131,33.3766385365573,31.04834939252,33.6154726279432,2503.125,1390.0584513341,2526.0,9770273388696150.0,9770273388696150.0,0.858980667848796,284.840218532447,829.752103527367,4.76923076923077,6.93639053254438,43556.1538461538,0.405696194788457,1.92307692307692,0.030678587290811,34117.2840236686,262.151227236738,487.787015043547,2452.64845605701,0.0042216806269278,8.82452042023689,SQUAMOUS
44.2850105066309,54.0832691319598,56.7978872846517,57.9913786695919,16560.9583333333,5340.38053971774,16611.0,1.499941421410628e+17,1.499941421410628e+17,0.915887684704062,1233.26322247851,3565.28989733587,18.1807228915663,4.77427783422848,426433.698795181,0.411292074951355,5.28915662650602,0.0750112217371079,386380.669182755,1770.23966046596,2332.02618746614,5655.94636084522,0.0020893299231544,36.3921518130846,OTHER
58.1849891621201,57.0087712549569,69.1230786351418,69.4550214167413,39739.4583333333,8472.8644770753,39794.0,1.6667866504364534e+17,1.6667866504364534e+17,0.913165159117193,3326.40814713053,6100.89102088264,26.5294117647059,4.52764635265871,2249063.41176471,0.378684082098448,9.35294117647059,0.090318780418965,2137237.80368618,3902.49821581143,7278.13293461326,3902.75604362467,0.0016467477376893,71.6357959720873,SQUAMOUS
