original_glrlm_RunLengthNonUniformity,original_glszm_GrayLevelVariance,histopathology
2751.85748369567,4.28847894975102,SQUAMOUS
1450.53227020535,5.8569376615915,SQUAMOUS
3880.76046993571,4.8696687165245,OTHER
2151.88192652709,5.37889273356401,OTHER
480.485938711015,5.17333333333333,OTHER
2034.92777590894,4.0964,SQUAMOUS
1428.98692642567,4.38406658739596,SQUAMOUS
1518.33747399461,5.04972222222222,SQUAMOUS
349.802835557752,5.85431841831426,SQUAMOUS
1236.71436133538,6.47160627366144,OTHER
1181.63955602091,5.98096371207615,SQUAMOUS
2656.23751641612,5.18094577407793,OTHER
1402.99182526206,6.04891158290782,SQUAMOUS
18039.4241722639,4.9119170984456,SQUAMOUS
825.21663055021,7.32142857142857,OTHER
1207.7044773811,5.29208804283165,SQUAMOUS
6278.88917446598,5.36273193359375,OTHER
212.056341551056,4.89603024574669,SQUAMOUS
1914.73966202737,4.32372175980975,SQUAMOUS
316.70406924535,5.61,OTHER
772.630527545169,4.75413223140496,SQUAMOUS
459.974747403466,4.93112947658402,OTHER
345.904001580246,5.4976,SQUAMOUS
1419.15862268216,4.49793388429752,SQUAMOUS
340.568787134672,5.50382653061224,SQUAMOUS
328.755897694849,5.6937618147448,SQUAMOUS
2205.43387154624,8.09994051160024,OTHER
4490.9004547176,4.39356506750934,SQUAMOUS
883.034820832765,7.76557093425606,OTHER
3835.67280840229,4.47483459357278,OTHER
190.436590600718,5.18181818181818,SQUAMOUS
3516.0065489207,5.81919379321977,SQUAMOUS
4708.60801985889,5.87179487179487,SQUAMOUS
3311.47440641081,3.81765742669444,SQUAMOUS
886.414609018603,3.91162570888469,SQUAMOUS
468.966428127433,5.70927684441198,SQUAMOUS
4094.35329514153,5.12509695290859,OTHER
7123.13436145501,3.96831597222222,SQUAMOUS
1395.76493160241,6.72979591836735,SQUAMOUS
637.640029469642,5.83350676378772,OTHER
221.18751075407,6.06094182825485,SQUAMOUS
913.494460451105,7.16709183673469,OTHER
8308.31419833901,4.9005968778696,SQUAMOUS
6178.76753364892,5.14258233302555,SQUAMOUS
698.751452156597,4.7590027700831,SQUAMOUS
7590.71379988198,3.96194571787902,SQUAMOUS
11019.9078948474,4.50443672839506,SQUAMOUS
852.521759092108,4.9504,OTHER
194.119248952335,6.31292517006803,SQUAMOUS
2760.96116778997,4.67924528301887,SQUAMOUS
340.425472835271,5.09061224489796,SQUAMOUS
64.6958485435714,8.22222222222222,OTHER
630.360638915013,5.5683950617284,SQUAMOUS
1813.15437778637,9.00591715976331,SQUAMOUS
1190.09708189596,6.55859375,SQUAMOUS
362.841600839966,6.8096,OTHER
1778.49676464461,5.96598639455782,SQUAMOUS
1743.30792471214,6.16326530612245,SQUAMOUS
7627.92286897901,3.45404123091316,SQUAMOUS
3276.91424533794,4.109375,SQUAMOUS
185.736834976849,6.19834710743802,SQUAMOUS
8923.17498968212,5.99695600475624,SQUAMOUS
183.938867935701,6.89,SQUAMOUS
1829.43207229525,7.30642060745867,SQUAMOUS
14929.4725560356,5.72048389668367,SQUAMOUS
1710.2574274835,4.48595041322314,SQUAMOUS
353.992008985938,5.16,SQUAMOUS
327.356417858115,5.46776406035665,SQUAMOUS
664.459491501642,6.21982167352538,OTHER
3231.03442097789,4.73112051681889,SQUAMOUS
2407.73682911286,6.43388318009735,SQUAMOUS
5910.62308746244,4.4875283446712,SQUAMOUS
2391.6187437165,4.53854875283447,OTHER
1263.45412656981,7.76694411414982,SQUAMOUS
351.839248851787,4.96076099881094,SQUAMOUS
3981.03888994939,6.25692520775623,SQUAMOUS
178.357047034726,6.53514739229025,SQUAMOUS
235.26846908263,4.77764565992866,SQUAMOUS
2568.65758808327,4.82662869348523,OTHER
3562.45135002583,4.5757375812989,SQUAMOUS
262.84227910624,4.8256,SQUAMOUS
3338.68277237459,6.34467455621302,OTHER
352.75086804579,5.06238185255198,OTHER
1160.30916262173,7.79238754325259,SQUAMOUS
2313.23959252417,5.79918367346939,OTHER
1274.26906083331,5.126041386724,SQUAMOUS
1438.06469399747,4.44378346222487,SQUAMOUS
792.544444062572,5.35018903591682,OTHER
627.346354231844,5.54766600920447,OTHER
783.188965083683,6.2475,SQUAMOUS
9020.85495604297,4.6268688071146,SQUAMOUS
1787.48296119278,3.68281807372176,SQUAMOUS
175.578957312714,7.66863905325444,SQUAMOUS
9216.98136770829,4.95036667020937,SQUAMOUS
773.174666391401,5.8659169550173,SQUAMOUS
386.257568037597,6.60606060606061,OTHER
1024.11685560286,4.31747919143876,SQUAMOUS
2021.025345671,5.61285609934259,OTHER
2320.28707101236,6.93444328824141,OTHER
4261.26303149788,5.59679215860994,OTHER
1798.93833942605,3.93579072532699,SQUAMOUS
785.282809345659,6.19855358316897,OTHER
915.470128794356,5.4287109375,OTHER
2670.00858414894,4.66,OTHER
